combi_image_link,combi_type,combi_color,image_link,type,color,type_indices,color_indices,combi_type_indices,combi_color_indices,predicted_match
B-Mango-images/B2182,Sweaters and cardigans,Ecru,,,,,,,,
B-Zara-images/B830,Skirts,White,B-Mango-images/B2182,Sweaters and cardigans,Ecru,0.0,0.0,8.0,7.0,0.9978881
B-Mango-images/B3541,Coats,Beige,B-Mango-images/B2182,Sweaters and cardigans,Ecru,0.0,0.0,2.0,3.0,0.9982499
B-Mango-images/B1325,Jewellery,Gold,B-Mango-images/B2182,Sweaters and cardigans,Ecru,0.0,0.0,5.0,8.0,0.9985113
B-Mango-images/B3634,Shoes,Black,B-Mango-images/B2182,Sweaters and cardigans,Ecru,0.0,0.0,7.0,0.0,0.9976031
B-Mango-images/B3365,Bags,Black,B-Mango-images/B2182,Sweaters and cardigans,Ecru,0.0,0.0,0.0,0.0,0.95590544
