combi_image_link,combi_type,combi_color,image_link,type,color,type_indices,color_indices,combi_type_indices,combi_color_indices,predicted_match
B-Mango-images/B3167,Shoes,Black,,,,,,,,
A-Mango-images/A3375,Jeans,Blue,B-Mango-images/B3167,Shoes,Black,0.0,0.0,7.0,2.0,0.9983879
B-Mango-images/B3369,Blouses and shirts,Blue,B-Mango-images/B3167,Shoes,Black,0.0,0.0,2.0,2.0,0.99913764
A-Zara-images/A375,Blazers,Blue,B-Mango-images/B3167,Shoes,Black,0.0,0.0,1.0,2.0,0.9983206
B-Mango-images/B1325,Jewellery,Gold,B-Mango-images/B3167,Shoes,Black,0.0,0.0,8.0,11.0,0.9965913
B-Mango-images/B3365,Bags,Black,B-Mango-images/B3167,Shoes,Black,0.0,0.0,0.0,0.0,0.9179605
